Parish Name,Priest Name
Aguleri: St Francis,Fr. Priest Aguleri St Francis
Aguleri: St Joseph,Fr. Priest Aguleri St Joseph
Aguleri: St Mary's Ugwunadagbe,Fr. Priest Aguleri St Marys
Anam: St Augustine Umuoba,Fr. Priest Anam St Augustine
Awkuzu: St Catherine,Fr. Priest Awkuzu St Catherine
Awkuzu: St Michael,Fr. Priest Awkuzu St Michael
Awkuzu: St Patrick,Fr. Priest Awkuzu St Patrick
Awkuzu: St Peter,Fr. Priest Awkuzu St Peter
Awkuzu: St Raphael,Fr. Priest Awkuzu St Raphael
Igbariam: Holy Trinity,Fr. Priest Igbariam Holy Trinity
Igbariam: St Anthony,Fr. Priest Igbariam St Anthony
Nando: St Francis of Assisi,Fr. Priest Nando St Francis
Nando: St Joan of Arc,Fr. Priest Nando St Joan
Nkwelle Ezunaka: Our Lady Q of A,Fr. Priest Nkwelle Our Lady
Nkwelle Ezunaka: Sacred Heart,Fr. Priest Nkwelle Sacred Heart
Nkwelle Ezunaka: St Anthony,Fr. Priest Nkwelle St Anthony
Nkwelle Ezunaka: St Augustine,Fr. Priest Nkwelle St Augustine
Nkwelle Ezunaka: St Francis Xavier,Fr. Priest Nkwelle St Francis Xavier
Nkwelle Ezunaka: St Peter,Fr. Priest Nkwelle St Peter
Nkwelle Ezunaka: St Pope John Paul II,Fr. Priest Nkwelle St Pope
Nkwelle Ezunaka: St Stephen Ind. Station,Fr. Priest Nkwelle St Stephen
Nkwelle Ezunaka: St Theophilus,Fr. Priest Nkwelle St Theophilus
Nkwelle Ezunaka: St William,Fr. Priest Nkwelle St William
Nsugbe: St John De Baptist,Fr. Priest Nsugbe St John
Nsugbe: St Joseph,Fr. Priest Nsugbe St Joseph
Nteje: Sacred Heart,Fr. Priest Nteje Sacred Heart
Nteje: St Anthony,Fr. Priest Nteje St Anthony
Nzam: St Mary,Fr. Priest Nzam St Mary
Ogbunike: St Michael De Archangel,Fr. Priest Ogbunike St Michael
Ogbunike: St Stephen,Fr. Priest Ogbunike St Stephen
Ogbunike: St Vincent,Fr. Priest Ogbunike St Vincent
Omor: Christ the King,Fr. Priest Omor Christ the King
Umueri: St Mark,Fr. Priest Umueri St Mark
Umunya: St Theresa,Fr. Priest Umunya St Theresa
